"","method","cor","Rank_pcc","edistance_score","Rank_edistance","mse_score","Rank_mse","sym_score","Rank_sym","ac_score","ac_rank","Rank","DataSet","op"
"355","linearModel",0.9237,2,0.87238610225576,4,0.742574257425743,6,0.417478512003656,5,0.73903471792129,4.25,3,"Norman","CEBPA+CEBPB_1"
"356","scELMo",0.8346,11,0.659400347040071,10,0.194719471947195,14,0,15,0.422179954746816,12.5,15,"Norman","CEBPA+CEBPB_1"
"357","scFoundation",0.6528,14,0.240248577539244,13,0.491749174917492,10,0.409397865877506,7,0.44854890458356,11,11,"Norman","CEBPA+CEBPB_1"
"358","scGPT",0.9076,6,0,15,0.993399339933993,2,0.985507589691415,2,0.721626732406352,6.25,6,"Norman","CEBPA+CEBPB_1"
"359","scouter",0.9214,3,0.0382793269036763,14,0.867986798679868,5,0.345040229980665,11,0.543176588891052,8.25,9,"Norman","CEBPA+CEBPB_1"
"360","trainMean",0.9242,1,0.87046527581615,5,0.742574257425743,6,0.419821615367029,3,0.73926528715223,3.75,1,"Norman","CEBPA+CEBPB_1"
"361","AttentionPert",0.8961,7,0.682232565604687,10,0.116935483870968,14,0,15,0.423817012368914,11.5,13,"Norman","CEBPA+CEBPE_1"
"362","baseMLP",0.5954,14,0.678677473718,11,0,15,0.252178950986436,9,0.381564106176109,12.25,15,"Norman","CEBPA+CEBPE_1"
"363","baseReg",0.9311,5,1,1,0.975806451612903,4,0.260313042835915,7,0.791804873612205,4.25,3,"Norman","CEBPA+CEBPE_1"
"364","biolord",0.9372,3,0.93490891581735,4,0.870967741935484,7,0.282260300122828,6,0.756334239468915,5,4,"Norman","CEBPA+CEBPE_1"
"365","baseControl",0.0714,15,0.819035390418104,6,0.286290322580645,12,0.251706231037114,10,0.357107986008966,10.75,12,"Norman","CEBPA+CEBPE_1"
"366","CPA",0.8853,8,0.48498515367948,12,0.911290322580645,5,1,1,0.820393869065031,6.5,6,"Norman","CEBPA+CEBPE_1"
"367","GEARS",0.8538,10,0.791156407992938,8,0.455645161290323,10,0.0818055844781422,12,0.545601788440351,10,10,"Norman","CEBPA+CEBPE_1"
"368","GeneCompass",0.8587,9,0.794831875451408,7,0.475806451612903,9,0.071633477794542,13,0.550242951214713,9.5,9,"Norman","CEBPA+CEBPE_1"
"369","GenePert",0.8246,12,0.932453254152957,5,0.701612903225806,8,0.257133340268212,8,0.678949874411744,8.25,7,"Norman","CEBPA+CEBPE_1"
"370","linearModel",0.9507,1,0.977208891742236,2,0.983870967741935,2,0.287124462100439,5,0.799726080396153,2.5,1,"Norman","CEBPA+CEBPE_1"
"371","scELMo",0.8468,11,0.721466976968141,9,0.225806451612903,13,0.0554208801260807,14,0.462373577176781,11.75,14,"Norman","CEBPA+CEBPE_1"
"372","scFoundation",0.6695,13,0.207423160260011,13,0.346774193548387,11,0.308362774438384,3,0.383015032061696,10,10,"Norman","CEBPA+CEBPE_1"
"373","scGPT",0.9285,6,0,15,1,1,0.928136797531281,2,0.71415919938282,6,5,"Norman","CEBPA+CEBPE_1"
"374","scouter",0.9366,4,0.0767033143407431,14,0.899193548387097,6,0.0943147304068287,11,0.501702898283667,8.75,8,"Norman","CEBPA+CEBPE_1"
"375","trainMean",0.9499,2,0.976181686863013,3,0.979838709677419,3,0.287580582793891,4,0.798375244833581,3,2,"Norman","CEBPA+CEBPE_1"
"376","AttentionPert",0.8483,8,0.796854926963886,9,0.364963503649635,12,0,15,0.50252960765338,11,12,"Norman","CEBPA+JUN_1"
"377","baseMLP",0.7798,12,0.917971166198791,5,0.660583941605839,8,0.306168861739109,8,0.666130992385935,8.25,8,"Norman","CEBPA+JUN_1"
"378","baseReg",0.8883,6,0.985123154271939,4,0.868613138686131,6,0.333312859500626,5,0.768837288114674,5.25,5,"Norman","CEBPA+JUN_1"
"379","biolord",0.9097,5,0.99772406464608,3,0.967153284671533,4,0.336189472382537,3,0.802691705425038,3.75,2,"Norman","CEBPA+JUN_1"
"380","baseControl",0.0152,15,0.722795831945568,11,0,15,0.300929857545958,9,0.259731422372882,12.5,14,"Norman","CEBPA+JUN_1"
"381","CPA",0.8635,7,0.424798972260551,12,0.861313868613139,7,0.99110968911865,2,0.785180632498085,7,7,"Norman","CEBPA+JUN_1"
"382","GEARS",0.8171,10,0.824594375981348,8,0.492700729927007,10,0.0733635210924758,13,0.551939656750208,10.25,11,"Norman","CEBPA+JUN_1"
"383","GeneCompass",0.822,9,0.825038460928455,7,0.536496350364964,9,0.0775429710793645,12,0.565269445593196,9.25,9,"Norman","CEBPA+JUN_1"
"384","GenePert",0.7071,13,0.86184200091989,6,0.45985401459854,11,0.314958304626963,7,0.585938580036348,9.25,9,"Norman","CEBPA+JUN_1"
"385","linearModel",0.9101,4,0.998445702685128,2,0.967153284671533,4,0.330648952213563,6,0.801586984892556,4,3,"Norman","CEBPA+JUN_1"
"386","scELMo",0.8169,11,0.753889708331351,10,0.306569343065694,14,0.0400844775095478,14,0.479360882226648,12.25,13,"Norman","CEBPA+JUN_1"
"387","scFoundation",0.6557,14,0.226467462847536,13,0.361313868613139,13,0.232714469590877,11,0.369048950262888,12.75,15,"Norman","CEBPA+JUN_1"
"388","scGPT",0.9187,1,0,15,0.970802919708029,2,1,1,0.722375729927007,4.75,4,"Norman","CEBPA+JUN_1"
"389","scouter",0.9179,2,0.150695468747522,14,1,1,0.276362475883796,10,0.58623948615783,6.75,6,"Norman","CEBPA+JUN_1"
"390","trainMean",0.9105,3,1,1,0.970802919708029,2,0.334359438375549,4,0.803915589520894,2.5,1,"Norman","CEBPA+JUN_1"
"391","AttentionPert",0.8553,8,0.796796805230256,7,0.633928571428571,9,0,15,0.571506344164707,9.75,9,"Norman","CEBPA+KLF1_1"
"392","baseMLP",0.5039,14,0.507759448666318,11,0,15,0.174486046804128,9,0.296536373867612,12.25,15,"Norman","CEBPA+KLF1_1"
"393","baseReg",0.9201,6,1,1,1,1,0.192842286783412,7,0.778235571695853,3.75,2,"Norman","CEBPA+KLF1_1"
"394","biolord",0.9244,3,0.935127302138272,5,0.916666666666667,6,0.214543060154441,4,0.747684257239845,4.5,4,"Norman","CEBPA+KLF1_1"
"395","baseControl",0.0214,15,0.849823916962947,6,0.62202380952381,10,0.174305910207158,10,0.416888409173479,10.25,11,"Norman","CEBPA+KLF1_1"
"396","CPA",0.8626,7,0.506200818912498,12,0.949404761904762,3,1,1,0.829551395204315,5.75,5,"Norman","CEBPA+KLF1_1"
"397","GEARS",0.822,10,0.780140529428615,8,0.610119047619048,11,0.0346543711693053,11,0.561728487054242,10,10,"Norman","CEBPA+KLF1_1"
"398","GeneCompass",0.8226,9,0.771117326907847,9,0.592261904761905,12,0.0272989673494537,13,0.553319549754801,10.75,12,"Norman","CEBPA+KLF1_1"
"399","GenePert",0.7756,12,0.940763644329115,4,0.845238095238095,8,0.185684697099229,8,0.68682160916661,8,7,"Norman","CEBPA+KLF1_1"
"400","linearModel",0.9463,2,0.94479080661196,3,0.9375,5,0.207569586719645,5,0.759040098332901,3.75,2,"Norman","CEBPA+KLF1_1"
"401","scELMo",0.8084,11,0.720668273038233,10,0.491071428571429,13,0.0140411264685327,14,0.508545207019549,12,14,"Norman","CEBPA+KLF1_1"
"402","scFoundation",0.6245,13,0.154927797529782,13,0.446428571428572,14,0.259698664224625,3,0.371388758295745,10.75,12,"Norman","CEBPA+KLF1_1"
"403","scGPT",0.923,5,0,15,0.994047619047619,2,0.931426989727972,2,0.712118652193898,6,6,"Norman","CEBPA+KLF1_1"
"404","scouter",0.9235,4,0.0774933863548284,14,0.895833333333333,7,0.0276866696439252,12,0.481128347333022,9.25,8,"Norman","CEBPA+KLF1_1"
"405","trainMean",0.9464,1,0.946231486006032,2,0.94047619047619,4,0.20662393183699,6,0.759932902079803,3.25,1,"Norman","CEBPA+KLF1_1"
"406","AttentionPert",0.8522,6,0.845487267240435,10,0.618257261410788,12,0.00952639540017564,14,0.58136773101285,10.5,11,"Norman","CEBPB+CEBPE_1"
"407","baseMLP",0.4757,14,0.661302694911111,11,0,15,0.243668255301029,7,0.345167737553035,11.75,14,"Norman","CEBPB+CEBPE_1"
"408","baseReg",0.8703,3,1,1,0.970954356846473,5,0.244849097422033,5,0.771525863567126,3.5,2,"Norman","CEBPB+CEBPE_1"
"409","biolord",0.8425,8,0.969400915443687,5,0.925311203319502,7,0.239403834425642,9,0.744153988297208,7.25,8,"Norman","CEBPB+CEBPE_1"
"410","baseControl",0.0705,15,0.878977670254824,9,0.526970954356846,13,0.24128911198005,8,0.42943443414793,11.25,12,"Norman","CEBPB+CEBPE_1"
"411","CPA",0.8484,7,0.491954042366666,12,0.950207468879668,6,1,1,0.822640377811584,6.5,6,"Norman","CEBPB+CEBPE_1"
"412","GEARS",0.7739,11,0.902015493420775,7,0.746887966804979,10,0.0329503088247611,13,0.613938442262629,10.25,10,"Norman","CEBPB+CEBPE_1"
"413","GeneCompass",0.7877,10,0.914019101246723,6,0.79253112033195,9,0.0553730570400618,12,0.637405819654684,9.25,9,"Norman","CEBPB+CEBPE_1"
"414","GenePert",0.805,9,0.973725248880984,4,0.867219917012448,8,0.252453425411368,3,0.7245996478262,6,5,"Norman","CEBPB+CEBPE_1"
"415","linearModel",0.8579,5,0.994461818580304,3,0.975103734439834,2,0.244121246088886,6,0.767896699777256,4,3,"Norman","CEBPB+CEBPE_1"
"416","scELMo",0.7735,12,0.882467483204222,8,0.680497925311203,11,0,15,0.584116352128856,11.5,13,"Norman","CEBPB+CEBPE_1"
"417","scFoundation",0.6512,13,0.17307449149042,13,0.37344398340249,14,0.226495842282956,10,0.356053579293966,12.5,15,"Norman","CEBPB+CEBPE_1"
"418","scGPT",0.8795,2,0,15,0.975103734439834,2,0.960492724573988,2,0.703774114753455,5.25,4,"Norman","CEBPB+CEBPE_1"
"419","scouter",0.889,1,0.137662162503899,14,1,1,0.144605799466097,11,0.542816990492499,6.75,7,"Norman","CEBPB+CEBPE_1"
"420","trainMean",0.8585,4,0.994596690578348,2,0.975103734439834,2,0.247038974824115,4,0.768809849960574,3,1,"Norman","CEBPB+CEBPE_1"
"421","AttentionPert",0.685,9,0.915463595621189,8,0.714285714285714,11,0.0352631718001767,12,0.58750312042677,10,11,"Norman","CEBPB+LYL1_1"
"422","baseMLP",0.6216,13,0.957525163470722,6,0.844155844155844,9,0.250921414637857,4,0.668550605566106,8,8,"Norman","CEBPB+LYL1_1"
"423","baseReg",0.8016,5,1,1,1,1,0.249810485946558,5,0.762852621486639,3,1,"Norman","CEBPB+LYL1_1"
"424","biolord",0.8474,2,0.979088604804937,5,0.935064935064935,5,0.248884678424984,7,0.752609554573714,4.75,3,"Norman","CEBPB+LYL1_1"
"425","baseControl",-0.0123,15,0.953273087943575,7,0.805194805194805,10,0.252394372875067,3,0.499640566503362,8.75,10,"Norman","CEBPB+LYL1_1"
"426","CPA",0.7036,8,0.459720079347587,12,0.967532467532467,2,1,1,0.782713136720014,5.75,6,"Norman","CEBPB+LYL1_1"
"427","GEARS",0.65,11,0.884670487106017,10,0.603896103896104,13,0,15,0.53464164775053,12.25,14,"Norman","CEBPB+LYL1_1"
"428","GeneCompass",0.6459,12,0.9029094115054,9,0.662337662337662,12,0.00877759304656989,14,0.554981166722408,11.75,12,"Norman","CEBPB+LYL1_1"
"429","GenePert",0.7037,7,0.992028506355154,2,0.967532467532467,2,0.247802510675733,9,0.727765871140839,5,5,"Norman","CEBPB+LYL1_1"
"430","linearModel",0.8473,3,0.979740650944089,3,0.935064935064935,5,0.248256260059212,8,0.752590461517059,4.75,3,"Norman","CEBPB+LYL1_1"
"431","scELMo",0.6554,10,0.879151054294321,11,0.551948051948052,14,0.0158935659076873,13,0.525598168037515,12,13,"Norman","CEBPB+LYL1_1"
"432","scFoundation",0.5588,14,0.164260524575711,14,0,15,0.155413396708489,10,0.21961848032105,13.25,15,"Norman","CEBPB+LYL1_1"
"433","scGPT",0.7529,6,0,15,0.896103896103896,8,0.8458709515833,2,0.623718711921799,7.75,7,"Norman","CEBPB+LYL1_1"
"434","scouter",0.8124,4,0.189534200279186,13,0.954545454545455,4,0.0487656254094565,11,0.501311320058524,8,8,"Norman","CEBPB+LYL1_1"
"435","trainMean",0.8509,1,0.97958452722063,4,0.935064935064935,5,0.249380959406629,6,0.753732605423049,4,2,"Norman","CEBPB+LYL1_1"
"436","AttentionPert",0.6412,11,0.937477916755,7,0.806629834254144,10,0.070489442166398,11,0.613949298293885,9.75,10,"Norman","CEBPB+PTPN12_1"
"437","baseMLP",0.4106,14,0.778346053282454,11,0.276243093922652,14,0.263528975924884,3,0.432179530782497,10.5,12,"Norman","CEBPB+PTPN12_1"
"438","baseReg",0.7033,6,0.983817398063741,2,0.950276243093923,3,0.25608314966509,8,0.723369197705689,4.75,2,"Norman","CEBPB+PTPN12_1"
"439","biolord",0.8211,1,0.938855911243022,5,0.812154696132597,9,0.246107252250051,9,0.704554464906417,6,6,"Norman","CEBPB+PTPN12_1"
"440","baseControl",0.0125999999999999,15,0.968924457635503,3,0.883977900552486,4,0.26331517229017,4,0.53220438261954,6.5,7,"Norman","CEBPB+PTPN12_1"
"441","CPA",0.6817,7,0.433608932230938,12,0.966850828729282,2,1,1,0.770539940240055,5.5,4,"Norman","CEBPB+PTPN12_1"
"442","GEARS",0.6516,9,0.908239700374532,8,0.712707182320442,11,0.0175135800270622,12,0.572515115680509,10,11,"Norman","CEBPB+PTPN12_1"
"443","GeneCompass",0.6518,8,0.899742067698396,9,0.696132596685083,12,0.00287130922592382,13,0.562636493402351,10.5,12,"Norman","CEBPB+PTPN12_1"
"444","GenePert",0.7465,5,1,1,1,1,0.260641514550986,5,0.751785378637747,3,1,"Norman","CEBPB+PTPN12_1"
"445","linearModel",0.783,3,0.938334746661013,6,0.81767955801105,7,0.258042938447201,6,0.699264310779816,5.5,4,"Norman","CEBPB+PTPN12_1"
"446","scELMo",0.6461,10,0.867438696911879,10,0.585635359116022,13,0,15,0.524793514006975,12,14,"Norman","CEBPB+PTPN12_1"
"447","scFoundation",0.5673,13,0.12248251006996,14,0,15,0.142571639745481,10,0.20808853745386,13,15,"Norman","CEBPB+PTPN12_1"
"448","scGPT",0.637,12,0,15,0.845303867403315,5,0.759065266792151,2,0.560342283548867,8.5,8,"Norman","CEBPB+PTPN12_1"
"449","scouter",0.7745,4,0.142613596212282,13,0.81767955801105,7,0.00273727231649745,14,0.434382606634957,9.5,9,"Norman","CEBPB+PTPN12_1"
"450","trainMean",0.7854,2,0.939783407533037,4,0.823204419889503,6,0.257552669724025,7,0.701485124286641,4.75,2,"Norman","CEBPB+PTPN12_1"
"451","AttentionPert",0.5351,11,0.908020583064078,8,0.920195439739414,11,0.0219681853342836,14,0.596321052034444,11,11,"Norman","CEBPE+CNN1_1"
"452","baseMLP",0.2647,14,0,15,0,15,0.215359186451489,3,0.120014796612872,11.75,13,"Norman","CEBPE+CNN1_1"
"453","baseReg",0.5912,5,0.996142976811834,2,0.996742671009772,3,0.213721253646866,7,0.699451725367118,4.25,3,"Norman","CEBPE+CNN1_1"
"454","biolord",0.5262,12,0.954332477239881,6,0.960912052117264,9,0.17779980534649,9,0.654811083675909,9,9,"Norman","CEBPE+CNN1_1"
"455","baseControl",-0.0167999999999999,15,0.976333158432521,5,0.973941368078176,8,0.213059302325486,8,0.536633457209046,9,9,"Norman","CEBPE+CNN1_1"
"456","CPA",0.5567,8,0.412112341553672,11,0.98371335504886,7,1,1,0.738131424150633,6.75,6,"Norman","CEBPE+CNN1_1"
"457","GEARS",0.5374,10,0.904660646396583,9,0.9185667752443,12,0.0344179232285312,13,0.598761336217353,11,11,"Norman","CEBPE+CNN1_1"
"458","GeneCompass",0.576,6,0.932884114403542,7,0.941368078175896,10,0.0459832090217923,12,0.624058850400308,8.75,8,"Norman","CEBPE+CNN1_1"
"459","GenePert",0.608,1,1,1,1,1,0.21387632638909,5,0.705469081597273,2,1,"Norman","CEBPE+CNN1_1"
"460","linearModel",0.6006,3,0.988364493293935,3,0.990228013029316,5,0.214128965436552,4,0.698330367939951,3.75,2,"Norman","CEBPE+CNN1_1"
"461","scELMo",0.5457,9,0.889665203023022,10,0.900651465798046,13,0,15,0.584004167205267,11.75,13,"Norman","CEBPE+CNN1_1"
"462","scFoundation",0.5174,13,0.125293419126785,13,0.744299674267101,14,0.147410978762225,10,0.383601018039028,12.5,15,"Norman","CEBPE+CNN1_1"
"463","scGPT",0.6063,2,0.022847569338967,14,1,1,0.938483108866047,2,0.641907669551254,4.75,4,"Norman","CEBPE+CNN1_1"
"464","scouter",0.5598,7,0.159472720075852,12,0.993485342019544,4,0.0586241206512844,11,0.44284554568667,8.5,7,"Norman","CEBPE+CNN1_1"
"465","trainMean",0.5917,4,0.987793764325757,4,0.990228013029316,5,0.213776890827323,6,0.695874667045599,4.75,4,"Norman","CEBPE+CNN1_1"
"466","AttentionPert",0.5314,5,0.912131591187788,8,0.928362573099415,11,0.0335796629683006,12,0.601368456813876,9,10,"Norman","CEBPE+ETS2_1"
"467","baseMLP",0.148,14,0,15,0,15,0.195193610993355,5,0.0857984027483387,12.25,15,"Norman","CEBPE+ETS2_1"
"468","baseReg",0.3797,13,0.977318279842699,2,0.978070175438597,4,0.195456435117101,4,0.632636222599599,5.75,2,"Norman","CEBPE+ETS2_1"
"469","biolord",0.5352,4,0.946670049473551,7,0.956140350877193,10,0.154469133592099,10,0.648119883485711,7.75,9,"Norman","CEBPE+ETS2_1"
"470","baseControl",0.00660000000000005,15,0.961740454141824,5,0.95906432748538,9,0.194852010005153,8,0.53056419790809,9.25,11,"Norman","CEBPE+ETS2_1"
"471","CPA",0.5056,7,0.399264239502727,11,0.963450292397661,7,1,1,0.717078632975097,6.5,4,"Norman","CEBPE+ETS2_1"
"472","GEARS",0.4411,9,0.911446572793776,9,0.926900584795322,12,0.0105197144146227,14,0.57249171800093,11,13,"Norman","CEBPE+ETS2_1"
"473","GeneCompass",0.5464,3,0.951921857160979,6,0.963450292397661,7,0.0353069035785128,11,0.624269763284288,6.75,6,"Norman","CEBPE+ETS2_1"
"474","GenePert",0.5783,2,1,1,1,1,0.195075065843983,6,0.693343766460996,2.5,1,"Norman","CEBPE+ETS2_1"
"475","linearModel",0.4007,11,0.970011416973234,3,0.973684210526316,5,0.194917355490228,7,0.634828245747444,6.5,4,"Norman","CEBPE+ETS2_1"
"476","scELMo",0.5278,6,0.901644889847351,10,0.915204678362573,13,0.0185507316916099,13,0.590800074975383,10.5,12,"Norman","CEBPE+ETS2_1"
"477","scFoundation",0.4301,10,0.203568861262633,13,0.783625730994152,14,0.177986408853095,9,0.39882025027747,11.5,14,"Norman","CEBPE+ETS2_1"
"478","scGPT",0.4584,8,0.0615332572201783,14,0.986842105263158,3,0.887988191288634,2,0.598690888442992,6.75,6,"Norman","CEBPE+ETS2_1"
"479","scouter",0.6024,1,0.219924732546831,12,0.992690058479532,2,0,15,0.453753697756591,7.5,8,"Norman","CEBPE+ETS2_1"
"480","trainMean",0.389,12,0.968108588100977,4,0.972222222222222,6,0.196250864709367,3,0.631395418758141,6.25,3,"Norman","CEBPE+ETS2_1"
"481","AttentionPert",0.869,2,0.959018118816691,9,0.888888888888889,5,0.0306222178381136,12,0.686882306385923,7,7,"Norman","CEBPE+FOSB_1"
"482","baseMLP",0.376,14,0.678540779481533,11,0,15,0.235637635317398,8,0.322544603699733,12,14,"Norman","CEBPE+FOSB_1"
"483","baseReg",0.8346,4,0.991774478213702,4,0.876984126984127,7,0.239194171114783,4,0.735638194078153,4.75,2,"Norman","CEBPE+FOSB_1"
"484","biolord",0.7999,7,1,1,0.924603174603175,3,0.234708407181389,9,0.739802895446141,5,3,"Norman","CEBPE+FOSB_1"
"485","baseControl",0.033,15,0.889821726388057,10,0.53968253968254,14,0.236659020066398,7,0.424790821534249,11.5,13,"Norman","CEBPE+FOSB_1"
"486","CPA",0.8496,3,0.520879547920141,12,0.96031746031746,2,1,1,0.8326992520594,4.5,1,"Norman","CEBPE+FOSB_1"
"487","GEARS",0.6943,12,0.962094593500542,7,0.817460317460317,11,0,15,0.618463727740215,11.25,12,"Norman","CEBPE+FOSB_1"
"488","GeneCompass",0.8002,6,0.988552275781667,5,0.904761904761905,4,0.0248774216701397,13,0.679597900553428,7,7,"Norman","CEBPE+FOSB_1"
"489","GenePert",0.7634,11,0.975396298515196,6,0.829365079365079,10,0.239625111053467,3,0.701946622233436,7.5,9,"Norman","CEBPE+FOSB_1"
"490","linearModel",0.7993,8,0.992600268786736,2,0.880952380952381,6,0.237918536726211,6,0.727692796616332,5.5,5,"Norman","CEBPE+FOSB_1"
"491","scELMo",0.7866,9,0.9595848378374,8,0.857142857142857,9,0.0130996296356178,14,0.654106831153969,10,11,"Norman","CEBPE+FOSB_1"
"492","scFoundation",0.5905,13,0.272923784387701,13,0.543650793650794,13,0.225138189286712,10,0.408053191831302,12.25,15,"Norman","CEBPE+FOSB_1"
"493","scGPT",0.7833,10,0,15,0.805555555555556,12,0.964705306430985,2,0.638390215496635,9.75,10,"Norman","CEBPE+FOSB_1"
"494","scouter",0.8981,1,0.215482763645784,14,1,1,0.157402811203709,11,0.567746393712373,6.75,6,"Norman","CEBPE+FOSB_1"
"495","trainMean",0.8003,5,0.992203565472239,3,0.876984126984127,7,0.238209575013448,5,0.726924316867453,5,3,"Norman","CEBPE+FOSB_1"
"496","AttentionPert",0.1403,6,0.915797330893374,6,0.928723404255319,8,0.136219286757981,13,0.530260005476669,8.25,8,"Norman","CEBPE+KLF1_1"
"497","baseMLP",-0.0598000000000001,15,0,15,0,15,0.28898084111272,5,0.05729521027818,12.5,15,"Norman","CEBPE+KLF1_1"
"498","baseReg",0.0515,13,0.971912378177615,3,0.977659574468085,5,0.287572746507358,8,0.572161174788265,7.25,7,"Norman","CEBPE+KLF1_1"
"499","biolord",0.0784,12,0.899773059720809,8,0.915957446808511,11,0.238843028517268,9,0.533243383761647,10,11,"Norman","CEBPE+KLF1_1"
"500","baseControl",0.0466,14,1,1,1,1,0.289353265491933,4,0.583988316372983,5,3,"Norman","CEBPE+KLF1_1"
"501","CPA",0.1814,4,0.658415752183623,11,0.996808510638298,2,1,1,0.70915606570548,4.5,2,"Norman","CEBPE+KLF1_1"
"502","GEARS",0.0813,11,0.875170807172998,10,0.893617021276596,13,0.129582096207069,14,0.494917481164166,12,14,"Norman","CEBPE+KLF1_1"
"503","GeneCompass",0.1019,7,0.908266766191316,7,0.921276595744681,10,0.143811172503032,11,0.518813633609757,8.75,9,"Norman","CEBPE+KLF1_1"
"504","GenePert",0.1997,2,0.98050841846102,2,0.985106382978723,4,0.288661794354602,6,0.613494148948586,3.5,1,"Norman","CEBPE+KLF1_1"
"505","linearModel",0.095,8,0.963797908778435,4,0.971276595744681,6,0.289994579992813,3,0.580017271128982,5.25,4,"Norman","CEBPE+KLF1_1"
"506","scELMo",0.0854,10,0.878535783726516,9,0.896808510638298,12,0.137006267573845,12,0.499437640484665,10.75,13,"Norman","CEBPE+KLF1_1"
"507","scFoundation",0.1881,3,0.37992932947274,14,0.772340425531915,14,0.233934359663973,10,0.393576028667157,10.25,12,"Norman","CEBPE+KLF1_1"
"508","scGPT",0.1536,5,0.400829505848077,13,0.988297872340426,3,0.948814260360428,2,0.622885409637232,5.75,5,"Norman","CEBPE+KLF1_1"
"509","scouter",0.2115,1,0.422427960005538,12,0.928723404255319,8,0,15,0.390662841065214,9,10,"Norman","CEBPE+KLF1_1"
"510","trainMean",0.0904,9,0.962937100822884,5,0.970212765957447,7,0.288303704280334,7,0.577963392765166,7,6,"Norman","CEBPE+KLF1_1"
"511","AttentionPert",0.5511,10,0.946573244950963,6,0.942982456140351,7,0.126823660535777,13,0.641869840406773,9,9,"Norman","CEBPE+PTPN12_1"
"512","baseMLP",0.2257,14,0.18480831104392,12,0,15,0.267607180301526,3,0.169528872836361,11,14,"Norman","CEBPE+PTPN12_1"
"513","baseReg",0.6008,6,0.996007287669109,2,0.995614035087719,2,0.266280026852211,7,0.71467533740226,4.25,2,"Norman","CEBPE+PTPN12_1"
"514","biolord",0.5394,11,0.87065356436795,10,0.855263157894737,13,0.232300859465686,9,0.624404395432093,10.75,13,"Norman","CEBPE+PTPN12_1"
"515","baseControl",0.00260000000000005,15,0.980152730937706,5,0.973684210526316,6,0.26690876229961,5,0.555836425940908,7.75,6,"Norman","CEBPE+PTPN12_1"
"516","CPA",0.411,13,0.314610225995271,11,0.925438596491228,10,1,1,0.662762205621625,8.75,8,"Norman","CEBPE+PTPN12_1"
"517","GEARS",0.5574,8,0.91232507655929,8,0.905701754385965,11,0.105670159479194,14,0.620274247606112,10.25,11,"Norman","CEBPE+PTPN12_1"
"518","GeneCompass",0.5813,7,0.934323758576579,7,0.932017543859649,9,0.150361853239941,11,0.649500788919042,8.5,7,"Norman","CEBPE+PTPN12_1"
"519","GenePert",0.6831,2,1,1,1,1,0.267011806286986,4,0.737527951571746,2,1,"Norman","CEBPE+PTPN12_1"
"520","linearModel",0.6156,5,0.981257510563244,4,0.980263157894737,5,0.266567915998826,6,0.710922146114202,5,4,"Norman","CEBPE+PTPN12_1"
"521","scELMo",0.557,9,0.89173159669729,9,0.883771929824561,12,0.129719267565835,12,0.615555698521922,10.5,12,"Norman","CEBPE+PTPN12_1"
"522","scFoundation",0.5254,12,0.0962127379152615,14,0.646929824561403,14,0.205411464802239,10,0.368488506819726,12.5,15,"Norman","CEBPE+PTPN12_1"
"523","scGPT",0.6232,3,0,15,0.995614035087719,2,0.90055429736503,2,0.629842083113187,5.5,5,"Norman","CEBPE+PTPN12_1"
"524","scouter",0.7163,1,0.11677714462922,13,0.942982456140351,7,0,15,0.444014900192393,9,9,"Norman","CEBPE+PTPN12_1"
"525","trainMean",0.6176,4,0.981935884017521,3,0.982456140350877,4,0.265574490306494,8,0.711891628668723,4.75,3,"Norman","CEBPE+PTPN12_1"
"526","AttentionPert",0.4774,6,0.963964297422773,6,0.970070422535211,9,0.0593309425082102,14,0.617691415616549,8.75,9,"Norman","CEBPE+RUNX1T1_1"
"527","baseMLP",0.1893,14,0,15,0,15,0.211876766592041,7,0.10029419164801,12.75,15,"Norman","CEBPE+RUNX1T1_1"
"528","baseReg",0.288,13,0.985072811683711,3,0.985915492957746,7,0.21148439753632,8,0.617618175544444,7.75,7,"Norman","CEBPE+RUNX1T1_1"
"529","biolord",0.3956,12,0.957455133831788,8,0.964788732394366,11,0.163590328536776,10,0.620358548690732,10.25,13,"Norman","CEBPE+RUNX1T1_1"
"530","baseControl",-0.0117,15,0.992465021838217,2,0.98943661971831,4,0.21080004926771,9,0.545250422706059,7.5,5,"Norman","CEBPE+RUNX1T1_1"
"531","CPA",0.6211,2,0.682901680432323,11,1,1,1,1,0.826000420108081,3.75,2,"Norman","CEBPE+RUNX1T1_1"
"532","GEARS",0.4621,7,0.942427479140008,9,0.952464788732394,12,0.0953133497647976,13,0.6130764044093,10.25,13,"Norman","CEBPE+RUNX1T1_1"
"533","GeneCompass",0.5008,4,0.958253577131738,7,0.965669014084507,10,0.118052925257884,11,0.635693879118532,8,8,"Norman","CEBPE+RUNX1T1_1"
"534","GenePert",0.6052,3,1,1,0.999119718309859,2,0.213721750227521,4,0.704510367134345,2.5,1,"Norman","CEBPE+RUNX1T1_1"
"535","linearModel",0.4368,10,0.984565192102285,5,0.986795774647887,5,0.212825952072514,5,0.655246729705672,6.25,4,"Norman","CEBPE+RUNX1T1_1"
"536","scELMo",0.491,5,0.93496652883385,10,0.947183098591549,13,0.108194671323348,12,0.620336074687187,10,12,"Norman","CEBPE+RUNX1T1_1"
"537","scFoundation",0.4437,8,0.496716335832655,13,0.854753521126761,14,0.243302688431402,3,0.509618136347704,9.5,11,"Norman","CEBPE+RUNX1T1_1"
